FID,latitude,longitude,brightness,acq_date,acq_time,confidence,frp,local_time,RASTERVALU
171,38.787999999999997,116.653000000000010,311.800000000000010,10/25/2013 0:00:00,5,51,20.399999999999999,13,12
172,38.783999999999999,116.676000000000000,312.300000000000010,5/13/2008 0:00:00,3,54,7.200000000000000,11,12
173,38.783999999999999,116.679000000000000,315.600000000000020,7/30/2013 0:00:00,3,32,8.800000000000001,11,12
174,38.784999999999997,116.675000000000000,313.800000000000010,4/27/2008 0:00:00,3,59,5.600000000000000,11,12
175,38.924999999999997,115.968999999999990,315.899999999999980,6/12/2013 0:00:00,3,65,12.800000000000001,11,12
176,38.841000000000001,116.399000000000000,318.699999999999990,10/17/2014 0:00:00,5,70,13.500000000000000,13,12
177,38.927000000000000,115.962000000000000,316.500000000000000,5/19/2010 0:00:00,3,64,12.800000000000001,11,12
178,38.901000000000003,116.096999999999990,323.699999999999990,1/26/2011 0:00:00,4,77,92.799999999999997,12,12
179,38.924999999999997,115.974000000000000,312.100000000000020,5/19/2010 0:00:00,3,53,8.900000000000000,11,12
180,38.814000000000000,116.538000000000000,310.000000000000000,10/9/2013 0:00:00,5,18,10.199999999999999,13,12
181,38.929000000000002,115.956999999999990,322.600000000000020,6/16/2007 0:00:00,3,54,28.899999999999999,11,12
182,38.927999999999997,115.962999999999990,316.800000000000010,7/11/2012 0:00:00,3,33,8.800000000000001,11,12
183,38.927000000000000,115.968999999999990,320.600000000000020,5/30/2014 0:00:00,3,68,15.100000000000000,11,12
184,38.798000000000002,116.627000000000000,312.500000000000000,3/26/2010 0:00:00,6,54,8.900000000000000,14,12
185,38.798000000000002,116.627000000000000,316.399999999999980,7/4/2011 0:00:00,3,46,6.100000000000000,11,12
186,38.798000000000002,116.627000000000000,312.500000000000000,3/26/2010 0:00:00,6,54,8.900000000000000,14,12
187,38.798000000000002,116.627000000000000,316.399999999999980,7/4/2011 0:00:00,3,46,6.100000000000000,11,12
188,38.817999999999998,116.532000000000000,311.000000000000000,10/9/2013 0:00:00,5,45,12.400000000000000,13,13
189,38.906999999999996,116.084000000000000,315.199999999999990,2/12/2008 0:00:00,4,57,42.000000000000000,12,12
190,38.843000000000004,116.410000000000000,315.899999999999980,10/17/2014 0:00:00,5,65,10.600000000000000,13,12
191,38.909999999999997,116.072000000000000,312.699999999999990,2/12/2008 0:00:00,4,55,37.799999999999997,12,12
192,38.908000000000001,116.083000000000000,332.399999999999980,1/26/2011 0:00:00,4,85,126.200000000000000,12,12
193,38.904000000000003,116.104000000000000,325.500000000000000,1/26/2011 0:00:00,4,79,99.299999999999997,12,12
194,38.814999999999998,116.554000000000000,322.699999999999990,6/4/2010 0:00:00,3,75,12.600000000000000,11,12
195,38.816000000000003,116.552000000000010,322.399999999999980,6/9/2012 0:00:00,3,42,9.000000000000000,11,12
196,38.942000000000000,115.924000000000010,305.100000000000020,6/14/2007 0:00:00,14,2,9.699999999999999,22,13
197,38.847000000000001,116.413000000000000,316.699999999999990,10/14/2009 0:00:00,3,66,17.000000000000000,11,12
198,38.948000000000000,115.902000000000000,328.699999999999990,6/23/2005 0:00:00,6,82,10.900000000000000,14,12
199,38.884000000000000,116.236999999999990,316.600000000000020,5/11/2011 0:00:00,5,66,8.400000000000000,13,12
200,38.883000000000003,116.242999999999990,315.800000000000010,7/11/2012 0:00:00,3,62,7.600000000000000,11,12
201,38.936999999999998,115.968000000000000,327.399999999999980,2/5/2008 0:00:00,5,81,51.899999999999999,13,12
202,38.887000000000000,116.226000000000000,311.300000000000010,9/3/2014 0:00:00,3,44,7.300000000000000,11,12
203,38.884000000000000,116.246000000000000,320.500000000000000,7/30/2011 0:00:00,5,45,15.199999999999999,13,12
204,38.884999999999998,116.241000000000000,326.899999999999980,6/22/2009 0:00:00,5,65,12.600000000000000,13,12
205,38.890999999999998,116.211000000000000,312.399999999999980,9/8/2014 0:00:00,4,25,16.100000000000001,12,12
206,38.887000000000000,116.232000000000000,322.100000000000020,8/7/2014 0:00:00,5,28,16.000000000000000,13,12
207,38.789999999999999,116.720000000000000,312.800000000000010,10/1/2012 0:00:00,3,55,8.800000000000001,11,12
208,38.887999999999998,116.233999999999990,319.600000000000020,6/20/2010 0:00:00,3,48,9.100000000000000,11,12
209,38.886000000000003,116.246000000000000,321.600000000000020,6/20/2010 0:00:00,3,53,11.400000000000000,11,12
