latitude,longitude,brightness,acq_date,confidence,frp
39.054,115.762,311.9,2013-09-05 05:00:00,51,9.9
39.087,115.594,324.3,2005-06-22 05:00:00,77,25.1
39.084,115.611,324.3,2005-06-22 05:00:00,76,24.9
39.062,115.732,332,2006-06-18 03:00:00,84,20.1
39.095,115.563,306.7,2005-06-20 15:00:00,22,9.8
39.061,115.744,328.3,2006-06-18 03:00:00,81,14.8
39.059,115.761,312.3,2014-08-18 03:00:00,47,8
39.095,115.574,333.6,2005-06-21 06:00:00,86,45.1
39.059,115.763,317,2013-08-31 03:00:00,67,12
39.109,115.515,323.8,2014-06-27 04:00:00,77,22.1
39.062,115.763,310.7,2014-09-03 03:00:00,27,7
39.13,115.415,354.7,2009-02-03 06:00:00,97,94.3
39.132,115.427,365.9,2009-02-03 06:00:00,100,127.4
39.199,115.076,314.5,2014-04-03 05:00:00,57,25
39.135,115.423,311.1,2013-03-25 06:00:00,46,12.4
39.146,115.385,317.9,2009-03-16 06:00:00,69,12.5
39.207,115.06,325.3,2012-03-24 04:00:00,78,86.7
39.121,115.524,324.6,2005-06-21 06:00:00,50,16.9
39.208,115.065,310.3,2012-03-24 04:00:00,36,36.8
39.148,115.396,330.7,2009-03-16 06:00:00,83,29.3
39.134,115.472,324.9,2005-06-22 03:00:00,49,10.9
39.148,115.398,316.9,2012-01-27 06:00:00,67,26.3
39.146,115.412,314.4,2009-01-18 06:00:00,61,21.3
39.146,115.421,318,2011-03-08 05:00:00,69,21.3
39.154,115.387,327.2,2014-03-14 15:00:00,100,119.8
39.16,115.39,328.9,2011-03-08 05:00:00,82,38.1
39.146,115.466,334.1,2006-06-18 03:00:00,86,21.8
39.144,115.478,325.9,2006-06-18 03:00:00,67,10.8
39.22,115.072,313.1,2014-04-03 03:00:00,38,8.7
39.15,115.453,318.9,2014-04-03 03:00:00,70,11.3
39.15,115.457,322.6,2011-05-13 03:00:00,75,14
39.191,115.255,320.2,2006-04-23 06:00:00,72,18.1
39.229,115.075,317.1,2014-04-03 03:00:00,60,12.8
39.23,115.087,323.2,2014-03-17 06:00:00,76,59.7
39.151,115.521,332.2,2004-06-22 05:00:00,78,24.8
39.16,115.484,326.8,2005-06-22 03:00:00,53,13.8
39.158,115.495,328.2,2005-06-22 03:00:00,62,14.8
39.156,115.519,324.4,2005-06-21 06:00:00,63,21.4
39.154,115.546,306.7,2005-06-20 15:00:00,48,11.7
39.147,115.583,328.7,2005-06-20 05:00:00,81,23.9
39.153,115.552,308,2005-06-20 15:00:00,40,11.3
39.149,115.598,325.4,2005-06-20 05:00:00,54,15.7
39.145,115.638,323,2005-06-20 03:00:00,76,15.1
39.145,115.63,330.6,2005-06-20 05:00:00,79,25.2
39.145,115.638,323,2005-06-20 03:00:00,76,15.1
39.153,115.596,320.9,2005-06-20 03:00:00,73,13.1
39.215,115.301,312.6,2014-03-14 05:00:00,43,9.4
39.15,115.646,319.3,2006-06-18 05:00:00,71,33.6
39.181,115.538,322.9,2004-06-22 05:00:00,20,14.6
39.197,115.488,315.9,2013-04-01 06:00:00,65,14.8
39.204,115.452,321.2,2007-06-17 05:00:00,74,12.5
39.192,115.516,341.1,2005-06-22 03:00:00,90,33.9
39.182,115.62,312.5,2007-10-19 06:00:00,54,12.3
39.208,115.488,316.2,2014-04-03 03:00:00,57,10.9
39.212,115.478,313.1,2010-12-20 03:00:00,57,22.8
39.202,115.547,317.2,2005-06-21 03:00:00,18,26.6
39.215,115.486,324.6,2005-06-22 03:00:00,28,10.3
39.252,115.313,316.2,2005-12-24 05:00:00,65,96
39.229,115.453,324.8,2005-06-22 03:00:00,78,12.4
39.254,115.32,320.5,2005-11-02 05:00:00,73,26.7
39.254,115.321,331.5,2011-04-14 06:00:00,84,18.8
39.254,115.321,331.5,2011-04-14 06:00:00,84,18.8
39.258,115.306,320.5,2013-04-01 06:00:00,73,23.8
39.215,115.544,323.8,2005-06-21 06:00:00,76,19.6
39.256,115.333,311.6,2005-11-02 05:00:00,37,14.2
39.217,115.549,319,2005-06-21 03:00:00,44,36.2
39.259,115.326,322.6,2005-11-02 05:00:00,75,31.3
39.26,115.321,318.3,2013-04-01 06:00:00,69,18.4
39.218,115.551,324.9,2005-06-21 06:00:00,64,20.5
39.262,115.326,322.2,2011-04-14 06:00:00,71,7.1
39.259,115.384,321.8,2005-06-22 03:00:00,70,9.8
39.24,115.495,324,2007-06-17 05:00:00,77,18.8
39.239,115.501,319,2007-06-17 04:00:00,67,19.3
39.243,115.484,326.4,2007-06-17 04:00:00,80,34.3
39.246,115.491,326.7,2007-06-17 04:00:00,80,33.3
39.27,115.476,314.6,2013-06-12 03:00:00,62,8
39.309,115.279,319.5,2007-04-25 05:00:00,64,21.7
39.272,115.478,316.5,2008-07-07 03:00:00,35,8.4
39.373,114.939,317.5,2014-05-27 06:00:00,56,33.8
39.285,115.417,321.6,2007-04-03 06:00:00,72,12
39.274,115.479,313.8,2011-07-16 03:00:00,59,8.2
39.314,115.302,338.8,2007-04-25 05:00:00,89,97.8
39.314,115.3,318,2009-05-25 05:00:00,66,30.3
39.314,115.302,338.8,2007-04-25 05:00:00,89,97.8
39.381,114.943,315.6,2014-05-27 06:00:00,50,28.3
39.308,115.345,324,2010-04-08 03:00:00,77,24.8
39.333,115.22,311.2,2007-04-02 03:00:00,40,8.6
39.331,115.232,322.7,2007-04-02 03:00:00,76,21.6
39.317,115.311,315.7,2014-03-26 06:00:00,64,20.2
39.318,115.317,316.5,2014-03-26 06:00:00,66,21.5
39.321,115.305,325.5,2007-04-25 03:00:00,79,11.8
39.316,115.34,312.1,2007-02-09 05:00:00,52,15.3
39.309,115.392,312.9,2008-04-02 03:00:00,56,9.5
39.396,114.942,311.8,2004-11-18 04:00:00,51,136.2
39.397,114.937,327,2007-04-03 06:00:00,80,26.4
39.327,115.327,316.4,2006-03-10 04:00:00,66,22.4
39.4,114.938,316,2005-03-26 06:00:00,65,18.4
39.321,115.384,311.5,2006-02-18 06:00:00,47,13.8
39.322,115.379,312.7,2006-02-18 06:00:00,55,17.4
39.405,114.939,316.1,2004-11-18 04:00:00,65,160
39.328,115.386,322.2,2014-04-03 03:00:00,75,18.1
39.432,114.924,323.6,2006-04-02 05:00:00,77,15.8
39.448,114.945,318.9,2004-04-17 04:00:00,70,54.5
